State,Baseline_Value
"[0, 0]",0.000000
"[0, 1]",212.530000
"[0, 2]",227.960000
"[0, 3]",228.430000
"[0, 4]",228.140000
"[0, 5]",228.350000
"[0, 6]",231.730000
"[0, 7]",235.600000
"[0, 8]",235.600000
"[0, 9]",235.600000
"[1, 0]",107.560000
"[1, 1]",309.170000
"[1, 2]",326.770000
"[1, 3]",326.700000
"[1, 4]",326.810000
"[1, 5]",326.860000
"[1, 6]",333.110000
"[1, 7]",337.340000
"[1, 8]",342.180000
"[1, 9]",235.600000
"[2, 0]",113.460000
"[2, 1]",320.280000
"[2, 2]",335.290000
"[2, 3]",335.870000
"[2, 4]",335.890000
"[2, 5]",335.710000
"[2, 6]",340.190000
"[2, 7]",342.780000
"[2, 8]",337.340000
"[2, 9]",342.180000
"[3, 0]",113.900000
"[3, 1]",321.180000
"[3, 2]",336.180000
"[3, 3]",336.580000
"[3, 4]",336.650000
"[3, 5]",336.730000
"[3, 6]",341.010000
"[3, 7]",344.750000
"[3, 8]",342.780000
"[3, 9]",337.340000
"[4, 0]",113.960000
"[4, 1]",321.190000
"[4, 2]",336.220000
"[4, 3]",336.600000
"[4, 4]",336.610000
"[4, 5]",336.730000
"[4, 6]",341.190000
"[4, 7]",344.080000
"[4, 8]",352.020000
"[4, 9]",342.780000
"[5, 0]",114.280000
"[5, 1]",321.570000
"[5, 2]",336.290000
"[5, 3]",336.760000
"[5, 4]",336.810000
"[5, 5]",336.840000
"[5, 6]",341.390000
"[5, 7]",344.870000
"[5, 8]",357.330000
"[5, 9]",352.020000
"[6, 0]",115.580000
"[6, 1]",323.290000
"[6, 2]",338.290000
"[6, 3]",338.380000
"[6, 4]",338.440000
"[6, 5]",338.570000
"[6, 6]",343.030000
"[6, 7]",346.810000
"[6, 8]",344.870000
"[6, 9]",357.330000
"[7, 0]",116.890000
"[7, 1]",324.250000
"[7, 2]",339.800000
"[7, 3]",339.560000
"[7, 4]",339.220000
"[7, 5]",340.200000
"[7, 6]",344.920000
"[7, 7]",343.570000
"[7, 8]",346.810000
"[7, 9]",344.870000
"[8, 0]",116.820000
"[8, 1]",325.560000
"[8, 2]",338.920000
"[8, 3]",341.650000
"[8, 4]",340.510000
"[8, 5]",339.220000
"[8, 6]",343.610000
"[8, 7]",344.920000
"[8, 8]",343.570000
"[8, 9]",346.810000
"[9, 0]",116.820000
"[9, 1]",116.820000
"[9, 2]",325.560000
"[9, 3]",338.920000
"[9, 4]",341.650000
"[9, 5]",340.510000
"[9, 6]",339.220000
"[9, 7]",343.610000
"[9, 8]",344.920000
"[9, 9]",343.570000
