State,Baseline_Value
"[0, 0]",0.000000
"[0, 1]",0.000000
"[0, 2]",0.000000
"[0, 3]",0.000000
"[0, 4]",0.000000
"[0, 5]",159.910000
"[0, 6]",172.790000
"[0, 7]",175.300000
"[0, 8]",175.800000
"[0, 9]",175.800000
"[1, 0]",0.000000
"[1, 1]",0.000000
"[1, 2]",0.000000
"[1, 3]",0.000000
"[1, 4]",0.000000
"[1, 5]",159.910000
"[1, 6]",172.770000
"[1, 7]",175.560000
"[1, 8]",177.000000
"[1, 9]",175.800000
"[2, 0]",0.000000
"[2, 1]",0.000000
"[2, 2]",0.000000
"[2, 3]",0.000000
"[2, 4]",0.000000
"[2, 5]",159.990000
"[2, 6]",172.860000
"[2, 7]",175.500000
"[2, 8]",175.560000
"[2, 9]",177.000000
"[3, 0]",0.000000
"[3, 1]",0.000000
"[3, 2]",0.000000
"[3, 3]",0.000000
"[3, 4]",0.000000
"[3, 5]",159.850000
"[3, 6]",172.730000
"[3, 7]",175.610000
"[3, 8]",176.320000
"[3, 9]",175.560000
"[4, 0]",0.000000
"[4, 1]",0.000000
"[4, 2]",0.000000
"[4, 3]",0.000000
"[4, 4]",0.000000
"[4, 5]",159.950000
"[4, 6]",172.980000
"[4, 7]",175.640000
"[4, 8]",179.880000
"[4, 9]",176.320000
"[5, 0]",159.910000
"[5, 1]",159.910000
"[5, 2]",159.990000
"[5, 3]",159.850000
"[5, 4]",159.950000
"[5, 5]",309.350000
"[5, 6]",327.360000
"[5, 7]",331.250000
"[5, 8]",332.500000
"[5, 9]",179.880000
"[6, 0]",172.790000
"[6, 1]",172.770000
"[6, 2]",172.860000
"[6, 3]",172.730000
"[6, 4]",172.980000
"[6, 5]",327.360000
"[6, 6]",341.300000
"[6, 7]",345.010000
"[6, 8]",343.840000
"[6, 9]",332.500000
"[7, 0]",175.300000
"[7, 1]",175.560000
"[7, 2]",175.500000
"[7, 3]",175.610000
"[7, 4]",175.640000
"[7, 5]",331.250000
"[7, 6]",345.010000
"[7, 7]",343.540000
"[7, 8]",345.010000
"[7, 9]",343.840000
"[8, 0]",175.800000
"[8, 1]",177.000000
"[8, 2]",175.560000
"[8, 3]",176.320000
"[8, 4]",179.880000
"[8, 5]",332.500000
"[8, 6]",343.840000
"[8, 7]",345.010000
"[8, 8]",343.540000
"[8, 9]",345.010000
"[9, 0]",175.800000
"[9, 1]",175.800000
"[9, 2]",177.000000
"[9, 3]",175.560000
"[9, 4]",176.320000
"[9, 5]",179.880000
"[9, 6]",332.500000
"[9, 7]",343.840000
"[9, 8]",345.010000
"[9, 9]",343.540000
