Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After
0,"(0, 0)",0.00,0.00,0,25.18,0.00,74.82,0,34.93,0.00,165.07
1,"(1, 1)",0.00,0.00,1,18.40,0.00,56.42,1,41.05,0.00,124.02
2,"(2, 2)",0.00,0.00,2,15.50,0.00,40.92,2,30.38,0.00,93.64
3,"(3, 3)",0.00,0.00,3,14.23,0.00,26.69,3,39.00,0.00,54.64
4,"(4, 4)",0.00,0.00,4,16.61,0.00,10.08,4,30.67,0.00,23.97
5,"(5, 5)",0.00,0.00,5,21.00,0.00,-10.92,5,35.09,0.00,-11.11
6,"(6, 6)",322.04,322.04,6,10.76,110.92,89.24,6,30.20,211.11,169.80
7,"(0, 0)",0.00,322.04,0,22.79,0.00,66.45,0,34.54,0.00,135.26
8,"(1, 1)",0.00,322.04,1,13.17,0.00,53.28,1,24.52,0.00,110.75
9,"(2, 2)",0.00,322.04,2,22.56,0.00,30.72,2,41.70,0.00,69.05
10,"(3, 3)",0.00,322.04,3,16.94,0.00,13.78,3,31.77,0.00,37.27
11,"(4, 4)",0.00,0.00,4,19.50,0.00,-5.72,4,25.50,0.00,11.78
12,"(5, 5)",105.72,105.72,5,16.71,105.72,83.29,5,37.68,0.00,-25.90
13,"(0, 6)",225.90,331.62,0,19.94,0.00,63.34,6,37.05,225.90,162.95
14,"(1, 0)",0.00,331.62,1,15.22,0.00,48.13,0,39.66,0.00,123.29
15,"(2, 1)",0.00,331.62,2,15.55,0.00,32.58,1,35.50,0.00,87.78
16,"(3, 2)",0.00,331.62,3,17.18,0.00,15.39,2,26.74,0.00,61.04
17,"(4, 3)",0.00,225.90,4,11.82,0.00,3.57,3,32.70,0.00,28.34
18,"(5, 4)",0.00,0.00,5,20.04,0.00,-16.47,4,25.21,0.00,3.13
19,"(6, 5)",116.47,116.47,6,9.37,116.47,90.63,5,41.20,0.00,-38.07
20,"(0, 6)",238.07,354.54,0,12.98,0.00,77.64,6,33.59,238.07,166.41
21,"(1, 0)",0.00,354.54,1,9.28,0.00,68.37,0,24.55,0.00,141.86
22,"(2, 1)",0.00,354.54,2,21.69,0.00,46.68,1,28.91,0.00,112.95
23,"(3, 2)",0.00,354.54,3,20.82,0.00,25.85,2,32.39,0.00,80.57
24,"(4, 3)",0.00,238.07,4,17.74,0.00,8.11,3,29.63,0.00,50.94
25,"(5, 4)",0.00,0.00,5,13.35,0.00,-5.24,4,33.98,0.00,16.96
26,"(6, 5)",105.24,105.24,6,23.61,105.24,76.39,5,38.49,0.00,-21.53
27,"(0, 6)",221.53,326.77,0,16.81,0.00,59.58,6,34.76,221.53,165.24
28,"(1, 0)",0.00,326.77,1,8.15,0.00,51.44,0,23.22,0.00,142.01
29,"(2, 1)",0.00,326.77,2,18.00,0.00,33.43,1,32.67,0.00,109.35
30,"(3, 2)",0.00,326.77,3,9.91,0.00,23.53,2,31.43,0.00,77.91
31,"(4, 3)",0.00,221.53,4,15.44,0.00,8.09,3,28.60,0.00,49.31
32,"(5, 4)",0.00,0.00,5,20.79,0.00,-12.70,4,32.94,0.00,16.37
33,"(6, 5)",112.70,112.70,6,11.49,112.70,88.51,5,31.33,0.00,-14.96
34,"(0, 6)",214.96,327.66,0,22.77,0.00,65.74,6,32.07,214.96,167.93
35,"(1, 0)",0.00,327.66,1,15.21,0.00,50.53,0,20.14,0.00,147.79
36,"(2, 1)",0.00,327.66,2,19.58,0.00,30.96,1,33.01,0.00,114.78
37,"(3, 2)",0.00,327.66,3,9.39,0.00,21.57,2,33.91,0.00,80.87
38,"(4, 3)",0.00,214.96,4,18.57,0.00,3.00,3,37.17,0.00,43.70
39,"(5, 4)",0.00,0.00,5,14.92,0.00,-11.91,4,40.51,0.00,3.19
40,"(6, 5)",111.91,111.91,6,15.15,111.91,84.85,5,38.24,0.00,-35.05
41,"(0, 6)",235.05,346.97,0,11.53,0.00,73.33,6,37.12,235.05,162.88
42,"(1, 0)",0.00,346.97,1,18.45,0.00,54.87,0,26.94,0.00,135.94
43,"(2, 1)",0.00,346.97,2,16.18,0.00,38.69,1,31.59,0.00,104.34
44,"(3, 2)",0.00,346.97,3,23.02,0.00,15.67,2,31.16,0.00,73.18
45,"(4, 3)",0.00,235.05,4,17.45,0.00,-1.78,3,28.08,0.00,45.11
46,"(5, 4)",101.78,101.78,5,20.12,101.78,79.88,4,22.55,0.00,22.55
47,"(0, 5)",0.00,101.78,0,10.23,0.00,69.64,5,31.49,0.00,-8.94
48,"(1, 6)",208.94,310.72,1,10.10,0.00,59.54,6,43.34,208.94,156.66
49,"(2, 0)",0.00,310.72,2,12.38,0.00,47.16,0,44.08,0.00,112.58
