Retailer_State_Pair,Sample_Count,Optimal_Order_Up_To_Level
"[0, 0, 0, 0, 0]",105,0.0000
"[0, 0, 0, 0, 1]",85,0.0000
"[0, 0, 0, 0, 2]",102,0.0000
"[0, 0, 0, 0, 3]",104,0.0000
"[0, 0, 0, 0, 4]",101,0.0000
"[0, 0, 0, 0, 5]",105,164.2701
"[0, 0, 0, 0, 6]",42,179.9151
"[0, 0, 0, 0, 7]",4,179.4566
"[0, 0, 0, 1, 0]",91,0.0000
"[0, 0, 0, 1, 1]",104,0.0000
"[0, 0, 0, 1, 2]",81,0.0000
"[0, 0, 0, 1, 3]",95,0.0000
"[0, 0, 0, 1, 4]",109,0.0000
"[0, 0, 0, 1, 5]",95,168.0576
"[0, 0, 0, 1, 6]",52,180.2172
"[0, 0, 0, 1, 7]",6,179.4943
"[0, 0, 0, 2, 0]",107,0.0000
"[0, 0, 0, 2, 1]",93,0.0000
"[0, 0, 0, 2, 2]",95,0.0000
"[0, 0, 0, 2, 3]",108,0.0000
"[0, 0, 0, 2, 4]",82,0.0000
"[0, 0, 0, 2, 5]",104,163.1438
"[0, 0, 0, 2, 6]",59,179.2365
"[0, 0, 0, 2, 7]",1,162.9706
"[0, 0, 0, 3, 0]",97,0.0000
"[0, 0, 0, 3, 1]",89,0.0000
"[0, 0, 0, 3, 2]",94,0.0000
"[0, 0, 0, 3, 3]",96,0.0000
"[0, 0, 0, 3, 4]",88,0.0000
"[0, 0, 0, 3, 5]",93,164.3327
"[0, 0, 0, 3, 6]",34,177.1425
"[0, 0, 0, 3, 7]",3,181.0554
"[0, 0, 0, 4, 0]",96,0.0000
"[0, 0, 0, 4, 1]",91,0.0000
"[0, 0, 0, 4, 2]",95,0.0000
"[0, 0, 0, 4, 3]",103,0.0000
"[0, 0, 0, 4, 4]",102,0.0000
"[0, 0, 0, 4, 5]",83,167.8263
"[0, 0, 0, 4, 6]",42,178.3236
"[0, 0, 0, 4, 7]",3,178.7580
"[0, 0, 0, 5, 0]",85,82.8852
"[0, 0, 0, 5, 1]",99,83.1690
"[0, 0, 0, 5, 2]",93,84.3158
"[0, 0, 0, 5, 3]",86,83.4049
"[0, 0, 0, 5, 4]",103,85.2079
"[0, 0, 0, 5, 5]",88,237.4143
"[0, 0, 0, 5, 6]",47,259.5382
"[0, 0, 0, 5, 7]",3,254.8423
"[0, 0, 0, 6, 0]",50,86.9608
"[0, 0, 0, 6, 1]",58,86.6396
"[0, 0, 0, 6, 2]",61,88.1053
"[0, 0, 0, 6, 3]",45,88.9562
"[0, 0, 0, 6, 4]",58,88.8738
"[0, 0, 0, 6, 5]",41,245.5656
"[0, 0, 0, 6, 6]",20,267.9040
"[0, 0, 0, 6, 7]",2,246.8236
"[0, 0, 0, 7, 0]",10,91.2300
"[0, 0, 0, 7, 1]",5,86.8767
"[0, 0, 0, 7, 2]",8,93.8478
"[0, 0, 0, 7, 3]",7,86.9972
"[0, 0, 0, 7, 4]",7,86.2112
"[0, 0, 0, 7, 5]",8,243.0536
"[0, 0, 0, 7, 6]",4,279.0617
"[0, 0, 0, 8, 0]",1,79.5565
"[0, 0, 0, 8, 1]",1,90.5336
"[0, 0, 0, 8, 4]",1,87.6611
"[0, 0, 1, 0, 0]",96,0.0000
"[0, 0, 1, 0, 1]",95,0.0000
"[0, 0, 1, 0, 2]",97,0.0000
"[0, 0, 1, 0, 3]",105,0.0000
"[0, 0, 1, 0, 4]",104,0.0000
"[0, 0, 1, 0, 5]",108,162.7713
"[0, 0, 1, 0, 6]",44,178.7949
"[0, 0, 1, 0, 7]",2,177.0188
"[0, 0, 1, 1, 0]",117,0.0000
"[0, 0, 1, 1, 1]",79,0.0000
"[0, 0, 1, 1, 2]",103,0.0000
"[0, 0, 1, 1, 3]",101,0.0000
"[0, 0, 1, 1, 4]",83,0.0000
"[0, 0, 1, 1, 5]",90,161.4703
"[0, 0, 1, 1, 6]",46,176.7976
"[0, 0, 1, 1, 7]",1,178.6210
"[0, 0, 1, 2, 0]",110,0.0000
"[0, 0, 1, 2, 1]",103,0.0000
"[0, 0, 1, 2, 2]",94,0.0000
"[0, 0, 1, 2, 3]",86,0.0000
"[0, 0, 1, 2, 4]",93,0.0000
"[0, 0, 1, 2, 5]",95,164.9912
"[0, 0, 1, 2, 6]",63,181.8684
"[0, 0, 1, 3, 0]",105,0.0000
"[0, 0, 1, 3, 1]",89,0.0000
"[0, 0, 1, 3, 2]",102,0.0000
"[0, 0, 1, 3, 3]",99,0.0000
"[0, 0, 1, 3, 4]",94,0.0000
"[0, 0, 1, 3, 5]",91,165.4206
"[0, 0, 1, 3, 6]",53,177.6889
"[0, 0, 1, 3, 7]",1,180.2284
"[0, 0, 1, 4, 0]",78,0.0000
"[0, 0, 1, 4, 1]",92,0.0000
"[0, 0, 1, 4, 2]",99,0.0000
"[0, 0, 1, 4, 3]",92,0.0000
"[0, 0, 1, 4, 4]",102,0.0000
"[0, 0, 1, 4, 5]",91,163.9191
"[0, 0, 1, 4, 6]",42,176.1627
"[0, 0, 1, 4, 7]",3,184.3676
"[0, 0, 1, 5, 0]",88,83.3017
"[0, 0, 1, 5, 1]",101,83.5760
"[0, 0, 1, 5, 2]",87,84.4260
"[0, 0, 1, 5, 3]",96,84.6283
"[0, 0, 1, 5, 4]",92,84.7154
"[0, 0, 1, 5, 5]",74,171.6909
"[0, 0, 1, 5, 6]",39,258.5611
"[0, 0, 1, 5, 7]",3,269.2278
"[0, 0, 1, 6, 0]",51,87.1155
"[0, 0, 1, 6, 1]",57,89.4840
"[0, 0, 1, 6, 2]",40,89.9065
"[0, 0, 1, 6, 3]",54,89.0996
"[0, 0, 1, 6, 4]",54,90.5294
"[0, 0, 1, 6, 5]",48,254.8309
"[0, 0, 1, 6, 6]",30,257.1779
"[0, 0, 1, 6, 7]",1,264.6959
"[0, 0, 1, 7, 0]",5,89.1631
"[0, 0, 1, 7, 1]",4,93.2805
"[0, 0, 1, 7, 2]",4,90.2332
"[0, 0, 1, 7, 3]",12,92.1599
"[0, 0, 1, 7, 4]",6,88.5952
"[0, 0, 1, 7, 5]",4,262.5545
"[0, 0, 1, 7, 6]",8,265.7870
"[0, 0, 1, 8, 2]",2,87.0536
"[0, 0, 1, 8, 6]",1,257.7920
"[0, 0, 1, 9, 1]",1,88.4553
"[0, 0, 2, 0, 0]",92,0.0000
"[0, 0, 2, 0, 1]",96,0.0000
"[0, 0, 2, 0, 2]",85,0.0000
"[0, 0, 2, 0, 3]",86,0.0000
"[0, 0, 2, 0, 4]",88,0.0000
"[0, 0, 2, 0, 5]",106,164.8720
"[0, 0, 2, 0, 6]",43,177.9616
"[0, 0, 2, 0, 7]",1,181.8874
"[0, 0, 2, 1, 0]",115,0.0000
"[0, 0, 2, 1, 1]",96,0.0000
"[0, 0, 2, 1, 2]",97,0.0000
"[0, 0, 2, 1, 3]",117,0.0000
"[0, 0, 2, 1, 4]",99,0.0000
"[0, 0, 2, 1, 5]",88,166.9304
"[0, 0, 2, 1, 6]",62,178.4515
"[0, 0, 2, 1, 7]",1,176.0736
"[0, 0, 2, 2, 0]",103,0.0000
"[0, 0, 2, 2, 1]",84,0.0000
"[0, 0, 2, 2, 2]",105,0.0000
"[0, 0, 2, 2, 3]",85,0.0000
"[0, 0, 2, 2, 4]",81,0.0000
"[0, 0, 2, 2, 5]",104,163.5895
"[0, 0, 2, 2, 6]",35,178.3683
"[0, 0, 2, 2, 7]",3,177.6421
"[0, 0, 2, 3, 0]",89,0.0000
"[0, 0, 2, 3, 1]",90,0.0000
"[0, 0, 2, 3, 2]",86,0.0000
"[0, 0, 2, 3, 3]",78,0.0000
"[0, 0, 2, 3, 4]",99,0.0000
"[0, 0, 2, 3, 5]",116,164.6363
"[0, 0, 2, 3, 6]",63,178.3541
"[0, 0, 2, 3, 7]",3,175.0658
"[0, 0, 2, 4, 0]",93,0.0000
"[0, 0, 2, 4, 1]",80,0.0000
"[0, 0, 2, 4, 2]",100,0.0000
"[0, 0, 2, 4, 3]",113,0.0000
"[0, 0, 2, 4, 4]",96,0.0000
"[0, 0, 2, 4, 5]",99,165.5057
"[0, 0, 2, 4, 6]",53,177.8112
"[0, 0, 2, 4, 7]",4,175.0949
"[0, 0, 2, 5, 0]",95,83.2631
"[0, 0, 2, 5, 1]",80,83.3660
"[0, 0, 2, 5, 2]",90,82.2420
"[0, 0, 2, 5, 3]",81,82.5999
"[0, 0, 2, 5, 4]",88,83.6117
"[0, 0, 2, 5, 5]",77,248.0514
"[0, 0, 2, 5, 6]",51,252.5546
"[0, 0, 2, 5, 7]",5,255.8276
"[0, 0, 2, 6, 0]",38,88.5917
"[0, 0, 2, 6, 1]",44,89.1786
"[0, 0, 2, 6, 2]",48,89.1757
"[0, 0, 2, 6, 3]",48,88.6310
"[0, 0, 2, 6, 4]",52,88.1833
"[0, 0, 2, 6, 5]",47,248.1077
"[0, 0, 2, 6, 6]",15,267.1847
"[0, 0, 2, 7, 0]",7,92.9929
"[0, 0, 2, 7, 1]",13,90.7267
"[0, 0, 2, 7, 2]",6,85.7638
"[0, 0, 2, 7, 3]",13,89.1893
"[0, 0, 2, 7, 4]",3,91.8201
"[0, 0, 2, 7, 5]",5,259.3933
"[0, 0, 2, 7, 6]",3,265.2258
"[0, 0, 2, 8, 1]",1,89.9096
"[0, 0, 2, 8, 3]",1,81.6699
"[0, 0, 2, 8, 5]",2,247.9465
"[0, 0, 3, 0, 0]",92,0.0000
"[0, 0, 3, 0, 1]",87,0.0000
"[0, 0, 3, 0, 2]",101,0.0000
"[0, 0, 3, 0, 3]",102,0.0000
"[0, 0, 3, 0, 4]",92,0.0000
"[0, 0, 3, 0, 5]",106,161.2901
"[0, 0, 3, 0, 6]",37,177.5768
"[0, 0, 3, 0, 7]",3,178.9115
"[0, 0, 3, 1, 0]",109,0.0000
"[0, 0, 3, 1, 1]",102,0.0000
"[0, 0, 3, 1, 2]",103,0.0000
"[0, 0, 3, 1, 3]",90,0.0000
"[0, 0, 3, 1, 4]",91,0.0000
"[0, 0, 3, 1, 5]",74,161.6372
"[0, 0, 3, 1, 6]",53,176.7390
"[0, 0, 3, 1, 7]",2,181.2934
"[0, 0, 3, 2, 0]",94,0.0000
"[0, 0, 3, 2, 1]",91,0.0000
"[0, 0, 3, 2, 2]",78,0.0000
"[0, 0, 3, 2, 3]",84,0.0000
"[0, 0, 3, 2, 4]",95,0.0000
"[0, 0, 3, 2, 5]",92,163.8840
"[0, 0, 3, 2, 6]",52,176.8762
"[0, 0, 3, 3, 0]",106,0.0000
"[0, 0, 3, 3, 1]",96,0.0000
"[0, 0, 3, 3, 2]",107,0.0000
"[0, 0, 3, 3, 3]",114,0.0000
"[0, 0, 3, 3, 4]",90,0.0000
"[0, 0, 3, 3, 5]",98,167.8608
"[0, 0, 3, 3, 6]",50,177.6377
"[0, 0, 3, 3, 7]",2,188.5322
"[0, 0, 3, 4, 0]",89,0.0000
"[0, 0, 3, 4, 1]",87,0.0000
"[0, 0, 3, 4, 2]",87,0.0000
"[0, 0, 3, 4, 3]",118,0.0000
"[0, 0, 3, 4, 4]",102,0.0000
"[0, 0, 3, 4, 5]",96,166.8020
"[0, 0, 3, 4, 6]",69,177.9558
"[0, 0, 3, 4, 7]",1,176.1612
"[0, 0, 3, 5, 0]",90,84.2607
"[0, 0, 3, 5, 1]",96,84.2472
"[0, 0, 3, 5, 2]",104,84.3855
"[0, 0, 3, 5, 3]",99,83.0554
"[0, 0, 3, 5, 4]",89,83.3112
"[0, 0, 3, 5, 5]",103,236.9732
"[0, 0, 3, 5, 6]",40,254.6722
"[0, 0, 3, 5, 7]",3,260.7838
"[0, 0, 3, 6, 0]",47,87.2122
"[0, 0, 3, 6, 1]",42,88.1898
"[0, 0, 3, 6, 2]",39,88.1512
"[0, 0, 3, 6, 3]",58,87.5121
"[0, 0, 3, 6, 4]",50,87.2238
"[0, 0, 3, 6, 5]",63,247.8405
"[0, 0, 3, 6, 6]",26,266.7730
"[0, 0, 3, 6, 7]",2,260.1438
"[0, 0, 3, 7, 0]",15,89.5501
"[0, 0, 3, 7, 1]",18,91.4715
"[0, 0, 3, 7, 2]",11,89.4654
"[0, 0, 3, 7, 3]",10,90.6372
"[0, 0, 3, 7, 4]",8,90.4876
"[0, 0, 3, 7, 5]",6,257.3037
"[0, 0, 3, 7, 6]",7,268.0288
"[0, 0, 3, 8, 0]",1,85.3414
"[0, 0, 3, 8, 1]",2,87.7981
"[0, 0, 3, 8, 6]",3,252.1490
"[0, 0, 4, 0, 0]",82,0.0000
"[0, 0, 4, 0, 1]",84,0.0000
"[0, 0, 4, 0, 2]",88,0.0000
"[0, 0, 4, 0, 3]",98,0.0000
"[0, 0, 4, 0, 4]",96,0.0000
"[0, 0, 4, 0, 5]",88,165.8874
"[0, 0, 4, 0, 6]",56,185.3361
"[0, 0, 4, 1, 0]",98,0.0000
"[0, 0, 4, 1, 1]",96,0.0000
"[0, 0, 4, 1, 2]",111,0.0000
"[0, 0, 4, 1, 3]",112,0.0000
"[0, 0, 4, 1, 4]",97,0.0000
"[0, 0, 4, 1, 5]",96,161.2703
"[0, 0, 4, 1, 6]",37,210.4169
"[0, 0, 4, 1, 7]",5,182.6250
"[0, 0, 4, 2, 0]",99,0.0000
"[0, 0, 4, 2, 1]",79,38.7881
"[0, 0, 4, 2, 2]",98,0.0000
"[0, 0, 4, 2, 3]",98,0.0000
"[0, 0, 4, 2, 4]",106,0.0000
"[0, 0, 4, 2, 5]",92,166.1509
"[0, 0, 4, 2, 6]",58,182.4458
"[0, 0, 4, 2, 7]",1,175.9401
"[0, 0, 4, 3, 0]",99,0.0000
"[0, 0, 4, 3, 1]",99,0.0000
"[0, 0, 4, 3, 2]",86,0.0000
"[0, 0, 4, 3, 3]",91,0.0000
"[0, 0, 4, 3, 4]",88,38.8569
"[0, 0, 4, 3, 5]",84,168.3424
"[0, 0, 4, 3, 6]",45,184.4650
"[0, 0, 4, 3, 7]",4,182.8470
"[0, 0, 4, 4, 0]",97,0.0000
