Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After,R2_State,R2_Demand,R2_Order,R2_IP_After,R3_State,R3_Demand,R3_Order,R3_IP_After,R4_State,R4_Demand,R4_Order,R4_IP_After
0,"(0, 0, 0, 0, 0)",0.00,0.00,0,1.56,0.00,8.11,0,1.78,0.00,17.57,0,3.45,0.00,35.26,0,8.13,0.00,69.29,0,16.62,0.00,138.22
1,"(1, 1, 1, 1, 1)",0.00,0.00,1,1.33,0.00,6.79,1,3.42,0.00,14.16,1,6.64,0.00,28.62,1,13.77,0.00,55.52,1,21.79,0.00,116.43
2,"(2, 2, 2, 2, 2)",0.00,0.00,2,1.49,0.00,5.30,2,4.10,0.00,10.06,2,6.93,0.00,21.69,2,7.92,0.00,47.61,2,17.16,0.00,99.26
3,"(3, 3, 3, 3, 3)",0.00,0.00,3,3.05,0.00,2.25,3,3.71,0.00,6.35,3,11.06,0.00,10.63,3,10.19,0.00,37.42,3,23.10,0.00,76.16
4,"(4, 4, 4, 4, 4)",0.00,0.00,4,1.18,0.00,1.07,4,2.95,0.00,3.40,4,3.65,0.00,6.98,4,18.83,0.00,18.59,4,25.37,0.00,50.79
5,"(5, 5, 5, 5, 5)",0.00,0.00,5,0.32,0.00,0.75,5,3.14,0.00,0.26,5,7.93,0.00,-0.95,5,15.60,0.00,2.99,5,35.67,0.00,15.12
6,"(6, 6, 6, 6, 6)",39.66,39.66,6,0.77,0.00,-0.02,6,4.48,0.00,-4.22,6,5.62,39.66,33.09,6,8.46,0.00,-5.47,6,16.00,0.00,-0.88
7,"(7, 7, 0, 7, 7)",271.89,311.55,7,1.07,9.70,8.61,7,3.93,23.58,15.43,0,9.55,0.00,23.55,7,15.24,82.89,62.17,7,29.70,155.72,125.14
8,"(0, 0, 1, 0, 0)",0.00,311.55,0,0.81,0.00,7.80,0,2.01,0.00,13.42,1,7.23,0.00,16.32,0,12.46,0.00,49.72,0,26.08,0.00,99.06
9,"(1, 1, 2, 1, 1)",0.00,311.55,1,0.92,0.00,6.88,1,4.79,0.00,8.63,2,5.28,0.00,11.04,1,12.41,0.00,37.30,1,22.45,0.00,76.61
10,"(2, 2, 3, 2, 2)",0.00,311.55,2,2.24,0.00,4.64,2,4.56,0.00,4.08,3,6.54,0.00,4.49,2,19.05,0.00,18.26,2,25.99,0.00,50.62
11,"(3, 3, 4, 3, 3)",0.00,271.89,3,0.86,0.00,3.78,3,5.03,0.00,-0.95,4,7.36,0.00,-2.87,3,12.62,0.00,5.64,3,35.49,0.00,15.13
12,"(4, 4, 5, 4, 4)",61.89,61.89,4,1.36,0.00,2.43,4,2.17,20.31,17.19,5,12.50,41.58,26.21,4,10.75,0.00,-5.11,4,29.39,0.00,-14.27
13,"(5, 0, 0, 5, 5)",251.63,313.52,5,0.93,0.00,1.49,0,5.18,0.00,12.01,0,5.51,0.00,20.70,5,11.02,82.53,66.40,5,22.78,169.10,132.06
14,"(6, 1, 1, 0, 0)",0.00,313.52,6,0.44,0.00,1.05,1,0.74,0.00,11.27,1,4.55,0.00,16.15,0,11.12,0.00,55.28,0,21.59,0.00,110.47
