Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After
0,"(0,)",0.00,0.00,0,51.46,0.00,248.54
1,"(1,)",0.00,0.00,1,54.35,0.00,194.19
2,"(2,)",0.00,0.00,2,45.09,0.00,149.09
3,"(3,)",0.00,0.00,3,47.39,0.00,101.70
4,"(4,)",0.00,0.00,4,49.69,0.00,52.01
5,"(5,)",0.00,0.00,5,59.23,0.00,-7.22
6,"(6,)",307.22,307.22,6,61.45,307.22,238.55
7,"(0,)",0.00,307.22,0,50.54,0.00,188.01
8,"(1,)",0.00,307.22,1,46.01,0.00,142.00
9,"(2,)",0.00,307.22,2,50.72,0.00,91.29
10,"(3,)",0.00,307.22,3,44.13,0.00,47.15
11,"(4,)",0.00,0.00,4,42.28,0.00,4.87
12,"(5,)",0.00,0.00,5,54.14,0.00,-49.27
13,"(6,)",349.27,349.27,6,50.01,349.27,249.99
14,"(0,)",0.00,349.27,0,46.85,0.00,203.14
15,"(1,)",0.00,349.27,1,50.24,0.00,152.90
16,"(2,)",0.00,349.27,2,44.17,0.00,108.73
17,"(3,)",0.00,349.27,3,47.11,0.00,61.62
18,"(4,)",0.00,0.00,4,55.16,0.00,6.46
19,"(5,)",0.00,0.00,5,42.93,0.00,-36.47
20,"(6,)",336.47,336.47,6,49.03,336.47,250.97
21,"(0,)",0.00,336.47,0,52.70,0.00,198.27
22,"(1,)",0.00,336.47,1,48.61,0.00,149.67
23,"(2,)",0.00,336.47,2,55.06,0.00,94.60
24,"(3,)",0.00,336.47,3,51.41,0.00,43.20
25,"(4,)",0.00,0.00,4,43.96,0.00,-0.76
26,"(5,)",300.76,300.76,5,51.68,300.76,248.32
27,"(0,)",0.00,300.76,0,38.92,0.00,209.40
28,"(1,)",0.00,300.76,1,44.79,0.00,164.61
29,"(2,)",0.00,300.76,2,43.45,0.00,121.16
30,"(3,)",0.00,300.76,3,48.43,0.00,72.73
31,"(4,)",0.00,0.00,4,44.03,0.00,28.70
32,"(5,)",0.00,0.00,5,43.91,0.00,-15.21
33,"(6,)",315.21,315.21,6,51.19,315.21,248.81
34,"(0,)",0.00,315.21,0,60.41,0.00,188.40
35,"(1,)",0.00,315.21,1,51.56,0.00,136.83
36,"(2,)",0.00,315.21,2,48.44,0.00,88.40
37,"(3,)",0.00,315.21,3,60.76,0.00,27.63
38,"(4,)",0.00,0.00,4,45.31,0.00,-17.68
39,"(5,)",317.68,317.68,5,55.25,317.68,244.75
40,"(0,)",0.00,317.68,0,56.48,0.00,188.27
41,"(1,)",0.00,317.68,1,51.49,0.00,136.78
42,"(2,)",0.00,317.68,2,39.87,0.00,96.91
43,"(3,)",0.00,317.68,3,45.82,0.00,51.09
44,"(4,)",0.00,0.00,4,43.17,0.00,7.91
45,"(5,)",0.00,0.00,5,53.18,0.00,-45.26
46,"(6,)",345.26,345.26,6,49.40,345.26,250.60
47,"(0,)",0.00,345.26,0,48.21,0.00,202.39
48,"(1,)",0.00,345.26,1,37.22,0.00,165.17
49,"(2,)",0.00,345.26,2,50.44,0.00,114.72
