Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After
0,"(0, 0)",0.00,0.00,0,25.59,0.00,124.41,0,24.19,0.00,125.81
1,"(1, 1)",0.00,0.00,1,22.53,0.00,101.87,1,33.02,0.00,92.80
2,"(2, 2)",0.00,0.00,2,14.67,0.00,87.20,2,20.75,0.00,72.04
3,"(3, 3)",0.00,0.00,3,19.94,0.00,67.26,3,30.47,0.00,41.57
4,"(4, 4)",0.00,0.00,4,28.61,0.00,38.65,4,27.63,0.00,13.94
5,"(5, 5)",0.00,0.00,5,26.13,0.00,12.52,5,31.87,0.00,-17.93
6,"(6, 6)",167.93,167.93,6,26.45,0.00,-13.93,6,34.25,167.93,115.75
7,"(7, 0)",163.93,163.93,7,25.82,163.93,124.18,0,18.91,0.00,96.84
8,"(0, 1)",0.00,0.00,0,26.00,0.00,98.17,1,24.52,0.00,72.32
9,"(1, 2)",0.00,0.00,1,28.19,0.00,69.99,2,23.63,0.00,48.69
10,"(2, 3)",0.00,0.00,2,30.15,0.00,39.84,3,20.60,0.00,28.09
11,"(3, 4)",0.00,0.00,3,23.05,0.00,16.79,4,27.55,0.00,0.54
12,"(4, 5)",0.00,0.00,4,41.52,0.00,-24.73,5,22.73,0.00,-22.19
13,"(5, 6)",346.92,346.92,5,24.79,174.73,125.21,6,29.83,172.19,120.17
14,"(0, 0)",0.00,0.00,0,22.92,0.00,102.29,0,28.51,0.00,91.66
15,"(1, 1)",0.00,0.00,1,28.77,0.00,73.52,1,21.75,0.00,69.91
16,"(2, 2)",0.00,0.00,2,28.10,0.00,45.42,2,25.54,0.00,44.37
17,"(3, 3)",0.00,0.00,3,25.79,0.00,19.64,3,30.98,0.00,13.39
18,"(4, 4)",0.00,0.00,4,25.23,0.00,-5.59,4,24.65,0.00,-11.27
19,"(5, 5)",316.86,316.86,5,25.09,155.59,124.91,5,35.47,161.27,114.53
20,"(0, 0)",0.00,0.00,0,28.46,0.00,96.45,0,29.83,0.00,84.69
21,"(1, 1)",0.00,0.00,1,19.66,0.00,76.79,1,20.48,0.00,64.21
22,"(2, 2)",0.00,0.00,2,27.34,0.00,49.45,2,27.79,0.00,36.42
23,"(3, 3)",0.00,0.00,3,17.36,0.00,32.10,3,34.23,0.00,2.19
24,"(4, 4)",0.00,0.00,4,19.29,0.00,12.80,4,29.67,0.00,-27.49
25,"(5, 5)",177.49,177.49,5,33.55,0.00,-20.75,5,32.59,177.49,117.41
26,"(6, 0)",170.75,170.75,6,19.22,170.75,130.78,0,22.98,0.00,94.43
27,"(0, 1)",0.00,0.00,0,23.63,0.00,107.15,1,26.63,0.00,67.79
28,"(1, 2)",0.00,0.00,1,32.71,0.00,74.44,2,33.04,0.00,34.75
29,"(2, 3)",0.00,0.00,2,33.26,0.00,41.17,3,22.27,0.00,12.48
30,"(3, 4)",0.00,0.00,3,20.87,0.00,20.31,4,19.97,0.00,-7.49
31,"(4, 5)",157.49,157.49,4,21.99,0.00,-1.68,5,26.58,157.49,123.42
32,"(5, 0)",151.68,151.68,5,21.73,151.68,128.27,0,23.91,0.00,99.51
33,"(0, 1)",0.00,0.00,0,25.17,0.00,103.10,1,23.48,0.00,76.04
34,"(1, 2)",0.00,0.00,1,27.49,0.00,75.61,2,32.36,0.00,43.68
35,"(2, 3)",0.00,0.00,2,35.95,0.00,39.66,3,30.92,0.00,12.76
36,"(3, 4)",0.00,0.00,3,33.29,0.00,6.37,4,29.80,0.00,-17.05
37,"(4, 5)",167.05,167.05,4,25.56,0.00,-19.19,5,36.26,167.05,113.74
38,"(5, 0)",169.19,169.19,5,33.79,169.19,116.21,0,20.57,0.00,93.17
39,"(0, 1)",0.00,0.00,0,19.21,0.00,97.00,1,22.39,0.00,70.78
40,"(1, 2)",0.00,0.00,1,32.95,0.00,64.05,2,29.42,0.00,41.35
41,"(2, 3)",0.00,0.00,2,21.18,0.00,42.86,3,23.56,0.00,17.79
42,"(3, 4)",0.00,0.00,3,20.94,0.00,21.93,4,23.11,0.00,-5.32
43,"(4, 5)",155.32,155.32,4,32.32,0.00,-10.39,5,20.03,155.32,129.97
44,"(5, 0)",160.39,160.39,5,26.57,160.39,123.43,0,24.52,0.00,105.45
45,"(0, 1)",0.00,0.00,0,22.20,0.00,101.23,1,22.22,0.00,83.23
46,"(1, 2)",0.00,0.00,1,21.21,0.00,80.02,2,19.75,0.00,63.48
47,"(2, 3)",0.00,0.00,2,21.40,0.00,58.62,3,22.41,0.00,41.07
48,"(3, 4)",0.00,0.00,3,28.01,0.00,30.61,4,19.91,0.00,21.16
49,"(4, 5)",0.00,0.00,4,26.40,0.00,4.21,5,28.45,0.00,-7.29
