Step,State_k_vec,Order_at_t,Calculated_LTD,R0_State,R0_Demand,R0_Order,R0_IP_After,R1_State,R1_Demand,R1_Order,R1_IP_After,R2_State,R2_Demand,R2_Order,R2_IP_After,R3_State,R3_Demand,R3_Order,R3_IP_After,R4_State,R4_Demand,R4_Order,R4_IP_After
0,"(0, 0, 0, 0, 0)",0.00,0.00,0,8.86,0.00,51.14,0,4.23,0.00,55.77,0,15.62,0.00,44.38,0,13.17,0.00,46.83,0,5.91,0.00,54.09
1,"(1, 1, 1, 1, 1)",0.00,0.00,1,7.59,0.00,43.55,1,9.38,0.00,46.39,1,7.44,0.00,36.93,1,10.23,0.00,36.61,1,6.56,0.00,47.53
2,"(2, 2, 2, 2, 2)",0.00,0.00,2,9.54,0.00,34.02,2,10.58,0.00,35.81,2,7.52,0.00,29.41,2,8.47,0.00,28.14,2,7.46,0.00,40.07
3,"(3, 3, 3, 3, 3)",0.00,0.00,3,10.14,0.00,23.88,3,10.17,0.00,25.64,3,12.48,0.00,16.93,3,10.42,0.00,17.72,3,7.97,0.00,32.10
4,"(4, 4, 4, 4, 4)",0.00,0.00,4,8.26,0.00,15.62,4,10.80,0.00,14.84,4,9.49,0.00,7.43,4,3.97,0.00,13.74,4,12.97,0.00,19.13
5,"(5, 5, 5, 5, 5)",0.00,0.00,5,4.88,0.00,10.74,5,11.02,0.00,3.82,5,15.58,0.00,-8.15,5,5.41,0.00,8.34,5,5.53,0.00,13.59
6,"(6, 6, 6, 6, 6)",68.15,68.15,6,9.91,0.00,0.83,6,14.29,0.00,-10.46,6,8.97,68.15,51.03,6,13.31,0.00,-4.98,6,5.12,0.00,8.47
7,"(7, 7, 0, 7, 7)",135.44,135.44,7,8.11,0.00,-7.28,7,7.57,70.46,52.43,0,7.69,0.00,43.34,7,8.74,64.98,51.26,7,9.26,0.00,-0.78
8,"(8, 0, 1, 0, 8)",128.06,128.06,8,6.57,67.28,53.43,0,7.59,0.00,44.84,1,6.13,0.00,37.21,0,9.73,0.00,41.53,8,9.73,60.78,50.27
9,"(0, 1, 2, 1, 0)",0.00,0.00,0,7.85,0.00,45.58,1,7.07,0.00,37.78,2,10.78,0.00,26.43,1,10.18,0.00,31.35,0,12.20,0.00,38.06
10,"(1, 2, 3, 2, 1)",0.00,0.00,1,14.40,0.00,31.18,2,9.04,0.00,28.73,3,12.29,0.00,14.13,2,11.16,0.00,20.19,1,11.21,0.00,26.85
11,"(2, 3, 4, 3, 2)",0.00,0.00,2,10.94,0.00,20.25,3,13.82,0.00,14.91,4,4.61,0.00,9.52,3,10.17,0.00,10.02,2,9.37,0.00,17.49
12,"(3, 4, 5, 4, 3)",0.00,0.00,3,9.81,0.00,10.44,4,13.50,0.00,1.41,5,11.10,0.00,-1.58,4,12.07,0.00,-2.05,3,6.56,0.00,10.93
13,"(4, 5, 6, 5, 4)",123.64,123.64,4,10.68,0.00,-0.24,5,15.02,0.00,-13.61,6,10.92,61.58,49.08,5,7.52,62.05,52.48,4,7.72,0.00,3.21
14,"(5, 6, 0, 0, 5)",133.85,133.85,5,12.19,60.24,47.81,6,10.11,73.61,49.89,0,13.31,0.00,35.77,0,12.03,0.00,40.45,5,13.46,0.00,-10.25
15,"(0, 0, 1, 1, 6)",70.25,70.25,0,7.80,0.00,40.00,0,7.34,0.00,42.55,1,10.17,0.00,25.60,1,9.16,0.00,31.30,6,11.02,70.25,48.98
16,"(1, 1, 2, 2, 0)",0.00,0.00,1,11.44,0.00,28.56,1,9.03,0.00,33.52,2,7.39,0.00,18.21,2,9.20,0.00,22.10,0,10.43,0.00,38.55
17,"(2, 2, 3, 3, 1)",0.00,0.00,2,10.59,0.00,17.98,2,13.77,0.00,19.75,3,8.21,0.00,10.00,3,12.97,0.00,9.12,1,1.65,0.00,36.90
18,"(3, 3, 4, 4, 2)",0.00,0.00,3,14.16,0.00,3.81,3,3.69,0.00,16.06,4,7.46,0.00,2.53,4,9.02,0.00,0.10,2,9.63,0.00,27.26
19,"(4, 4, 5, 5, 3)",0.00,0.00,4,8.45,0.00,-4.63,4,11.13,0.00,4.92,5,12.20,0.00,-9.66,5,11.03,0.00,-10.92,3,6.16,0.00,21.10
