Retailer_State_Pair,Sample_Count,Optimal_Order_Up_To_Level
"[0, 0, 0, 0, 0]",102,62.8907
"[0, 0, 0, 0, 1]",428,67.8623
"[0, 0, 0, 0, 2]",443,122.3410
"[0, 0, 0, 0, 3]",393,126.9577
"[0, 0, 0, 0, 4]",391,125.7214
"[0, 0, 0, 0, 5]",411,126.7548
"[0, 0, 0, 0, 6]",215,126.1271
"[0, 0, 0, 0, 7]",40,128.1375
"[0, 0, 0, 0, 8]",5,133.7557
"[0, 0, 0, 1, 1]",867,127.9509
"[0, 0, 0, 1, 2]",1731,133.1969
"[0, 0, 0, 1, 3]",1600,134.7123
"[0, 0, 0, 1, 4]",1671,134.8562
"[0, 0, 0, 1, 5]",1535,134.5512
"[0, 0, 0, 1, 6]",825,136.8086
"[0, 0, 0, 1, 7]",204,133.4148
"[0, 0, 0, 1, 8]",22,134.2615
"[0, 0, 0, 1, 9]",1,260.1496
"[0, 0, 0, 1, 10]",1,130.9078
"[0, 0, 0, 2, 2]",811,138.0592
"[0, 0, 0, 2, 3]",1616,140.9087
"[0, 0, 0, 2, 4]",1646,142.2807
"[0, 0, 0, 2, 5]",1623,183.3773
"[0, 0, 0, 2, 6]",816,186.6214
"[0, 0, 0, 2, 7]",184,144.3061
"[0, 0, 0, 2, 8]",18,193.4837
"[0, 0, 0, 3, 3]",864,186.4812
"[0, 0, 0, 3, 4]",1619,186.5411
"[0, 0, 0, 3, 5]",1550,186.3501
"[0, 0, 0, 3, 6]",824,144.8731
"[0, 0, 0, 3, 7]",199,187.6523
"[0, 0, 0, 3, 8]",28,193.7641
"[0, 0, 0, 4, 4]",845,185.0213
"[0, 0, 0, 4, 5]",1461,186.8429
"[0, 0, 0, 4, 6]",859,187.4151
"[0, 0, 0, 4, 7]",189,188.9476
"[0, 0, 0, 4, 8]",29,189.0421
"[0, 0, 0, 5, 5]",681,185.6205
"[0, 0, 0, 5, 6]",753,186.2201
"[0, 0, 0, 5, 7]",168,190.4487
"[0, 0, 0, 5, 8]",12,194.1012
"[0, 0, 0, 5, 9]",5,138.8240
"[0, 0, 0, 6, 6]",213,143.9471
"[0, 0, 0, 6, 7]",104,189.0200
"[0, 0, 0, 6, 8]",13,141.7079
"[0, 0, 0, 6, 9]",1,145.6627
"[0, 0, 0, 7, 7]",16,146.6933
"[0, 0, 1, 1, 1]",801,139.0741
"[0, 0, 1, 1, 2]",2561,192.4687
"[0, 0, 1, 1, 3]",2502,193.4163
"[0, 0, 1, 1, 4]",2491,193.2277
"[0, 0, 1, 1, 5]",2344,192.7822
"[0, 0, 1, 1, 6]",1282,194.3685
"[0, 0, 1, 1, 7]",272,196.0326
"[0, 0, 1, 1, 8]",28,193.0623
"[0, 0, 1, 1, 9]",3,255.6500
"[0, 0, 1, 2, 2]",2595,197.0748
"[0, 0, 1, 2, 3]",5012,198.1112
"[0, 0, 1, 2, 4]",4831,198.6067
"[0, 0, 1, 2, 5]",4618,198.6354
"[0, 0, 1, 2, 6]",2560,199.3735
"[0, 0, 1, 2, 7]",561,200.2768
"[0, 0, 1, 2, 8]",55,201.0802
"[0, 0, 1, 2, 9]",7,203.7660
"[0, 0, 1, 3, 3]",2438,199.0884
"[0, 0, 1, 3, 4]",4963,199.6634
"[0, 0, 1, 3, 5]",4677,199.4207
"[0, 0, 1, 3, 6]",2440,200.2131
"[0, 0, 1, 3, 7]",579,200.2105
"[0, 0, 1, 3, 8]",72,203.3365
"[0, 0, 1, 3, 9]",1,130.2976
"[0, 0, 1, 4, 4]",2544,199.3602
"[0, 0, 1, 4, 5]",4593,200.0524
"[0, 0, 1, 4, 6]",2468,200.6612
"[0, 0, 1, 4, 7]",567,201.4967
"[0, 0, 1, 4, 8]",58,202.6669
"[0, 0, 1, 4, 9]",2,198.6538
"[0, 0, 1, 4, 10]",1,195.2704
"[0, 0, 1, 5, 5]",2179,199.9698
"[0, 0, 1, 5, 6]",2328,201.0606
"[0, 0, 1, 5, 7]",552,202.0857
"[0, 0, 1, 5, 8]",46,199.9200
"[0, 0, 1, 5, 9]",4,129.6823
"[0, 0, 1, 6, 6]",648,200.8491
"[0, 0, 1, 6, 7]",272,203.0896
"[0, 0, 1, 6, 8]",37,199.8746
"[0, 0, 1, 6, 9]",1,196.6372
"[0, 0, 1, 7, 7]",35,203.0128
"[0, 0, 1, 7, 8]",7,188.4105
"[0, 0, 1, 7, 9]",1,135.9544
"[0, 0, 1, 8, 8]",2,187.0615
"[0, 0, 2, 2, 2]",790,202.8639
"[0, 0, 2, 2, 3]",2508,203.7915
"[0, 0, 2, 2, 4]",2508,203.8198
"[0, 0, 2, 2, 5]",2210,203.6330
"[0, 0, 2, 2, 6]",1184,203.8053
"[0, 0, 2, 2, 7]",263,205.1689
"[0, 0, 2, 2, 8]",28,203.0120
"[0, 0, 2, 2, 9]",2,195.1671
"[0, 0, 2, 3, 3]",2507,205.5517
"[0, 0, 2, 3, 4]",4916,204.8754
"[0, 0, 2, 3, 5]",4547,205.7495
"[0, 0, 2, 3, 6]",2489,205.7098
"[0, 0, 2, 3, 7]",569,206.4839
"[0, 0, 2, 3, 8]",70,207.4786
"[0, 0, 2, 3, 9]",5,202.9688
"[0, 0, 2, 4, 4]",2477,205.7878
"[0, 0, 2, 4, 5]",4648,205.6397
"[0, 0, 2, 4, 6]",2486,206.2876
"[0, 0, 2, 4, 7]",564,207.4595
"[0, 0, 2, 4, 8]",48,208.2613
"[0, 0, 2, 4, 9]",1,198.0107
"[0, 0, 2, 5, 5]",2135,205.3841
"[0, 0, 2, 5, 6]",2256,206.1859
"[0, 0, 2, 5, 7]",556,207.5236
"[0, 0, 2, 5, 8]",67,205.0494
"[0, 0, 2, 6, 6]",661,207.9157
"[0, 0, 2, 6, 7]",262,208.2444
"[0, 0, 2, 6, 8]",23,209.4298
"[0, 0, 2, 6, 9]",2,200.8789
"[0, 0, 2, 7, 7]",30,258.5108
"[0, 0, 2, 7, 8]",4,208.9628
"[0, 0, 3, 3, 3]",858,207.5115
"[0, 0, 3, 3, 4]",2508,206.2245
"[0, 0, 3, 3, 5]",2287,206.8314
"[0, 0, 3, 3, 6]",1198,205.9394
"[0, 0, 3, 3, 7]",277,208.9829
"[0, 0, 3, 3, 8]",29,207.7966
"[0, 0, 3, 3, 9]",1,251.3831
"[0, 0, 3, 4, 4]",2538,206.0970
"[0, 0, 3, 4, 5]",4629,206.8809
"[0, 0, 3, 4, 6]",2543,206.8313
"[0, 0, 3, 4, 7]",576,210.2569
"[0, 0, 3, 4, 8]",67,251.4656
"[0, 0, 3, 4, 9]",4,261.2149
"[0, 0, 3, 5, 5]",2109,206.6236
"[0, 0, 3, 5, 6]",2247,208.3281
"[0, 0, 3, 5, 7]",560,207.6662
"[0, 0, 3, 5, 8]",41,206.8572
"[0, 0, 3, 5, 9]",7,206.6259
"[0, 0, 3, 6, 6]",623,208.3666
"[0, 0, 3, 6, 7]",283,208.5481
"[0, 0, 3, 6, 8]",31,208.8261
"[0, 0, 3, 6, 9]",2,209.9196
"[0, 0, 3, 7, 7]",29,254.1411
"[0, 0, 3, 7, 8]",5,203.6645
"[0, 0, 3, 8, 8]",2,262.8135
"[0, 0, 4, 4, 4]",789,206.6675
"[0, 0, 4, 4, 5]",2322,206.6112
"[0, 0, 4, 4, 6]",1219,206.6620
"[0, 0, 4, 4, 7]",285,211.6537
"[0, 0, 4, 4, 8]",23,254.8100
"[0, 0, 4, 4, 9]",1,192.4397
"[0, 0, 4, 5, 5]",2169,207.3652
"[0, 0, 4, 5, 6]",2347,208.1775
