Retailer_State_Pair,Sample_Count,Optimal_Order_Up_To_Level
"[0, 0]",23475,0.0000
"[0, 1]",23593,0.0000
"[0, 2]",23772,0.0000
"[0, 3]",23954,0.0000
"[0, 4]",23317,0.0000
"[0, 5]",23115,211.7359
"[0, 6]",11586,230.7848
"[0, 7]",371,234.3660
"[1, 0]",23121,0.0000
"[1, 1]",23475,0.0000
"[1, 2]",23593,0.0000
"[1, 3]",23771,0.0000
"[1, 4]",23953,0.0000
"[1, 5]",23215,211.6128
"[1, 6]",11694,230.8458
"[1, 7]",357,233.5418
"[1, 8]",2,231.3726
"[2, 0]",23408,0.0000
"[2, 1]",23120,0.0000
"[2, 2]",23475,0.0000
"[2, 3]",23593,0.0000
"[2, 4]",23771,0.0000
"[2, 5]",23844,211.4340
"[2, 6]",11621,230.7788
"[2, 7]",348,234.4599
"[3, 0]",23466,0.0000
"[3, 1]",23408,0.0000
"[3, 2]",23120,0.0000
"[3, 3]",23475,0.0000
"[3, 4]",23593,0.0000
"[3, 5]",23663,211.6570
"[3, 6]",12100,230.7489
"[3, 7]",352,234.1380
"[3, 8]",1,212.1258
"[4, 0]",24040,0.0000
"[4, 1]",23466,0.0000
"[4, 2]",23408,0.0000
"[4, 3]",23118,0.0000
"[4, 4]",23474,0.0000
"[4, 5]",23461,212.2130
"[4, 6]",11854,231.5054
"[4, 7]",350,235.5498
"[4, 8]",2,235.0627
"[5, 0]",22795,107.5690
"[5, 1]",23229,107.5117
"[5, 2]",22680,107.5699
"[5, 3]",22632,107.3989
"[5, 4]",22333,107.5995
"[5, 5]",22554,308.5751
"[5, 6]",11444,332.2775
"[5, 7]",328,335.5388
"[6, 0]",11823,114.9388
"[6, 1]",11830,114.8058
"[6, 2]",12045,114.9044
"[6, 3]",11566,114.9300
"[6, 4]",11669,114.9996
"[6, 5]",11498,321.4558
"[6, 6]",5920,341.3879
"[6, 7]",181,345.4634
"[7, 0]",1410,116.7032
"[7, 1]",1413,116.8714
"[7, 2]",1448,117.0442
"[7, 3]",1435,116.7188
"[7, 4]",1422,116.7080
"[7, 5]",1422,324.4385
"[7, 6]",711,344.0645
"[7, 7]",23,348.9463
"[8, 0]",46,115.9466
"[8, 1]",48,116.9167
"[8, 2]",40,117.5288
"[8, 3]",36,117.2040
"[8, 4]",47,117.8197
"[8, 5]",51,327.2569
"[8, 6]",23,344.8546
"[8, 7]",1,343.9091
"[9, 2]",1,119.1644
"[9, 5]",1,115.1750
