Retailer_State_Pair,Action_Target,Source
"[0, 0]",0.00,Original
"[0, 1]",0.00,Original
"[0, 2]",0.00,Original
"[0, 3]",0.00,Original
"[0, 4]",0.00,Original
"[0, 5]",211.74,Original
"[0, 6]",230.78,Original
"[0, 7]",234.37,Original
"[0, 8]",234.37,Fallback
"[0, 9]",234.37,Fallback
"[1, 0]",0.00,Original
"[1, 1]",0.00,Original
"[1, 2]",0.00,Original
"[1, 3]",0.00,Original
"[1, 4]",0.00,Original
"[1, 5]",211.61,Original
"[1, 6]",230.85,Original
"[1, 7]",233.54,Original
"[1, 8]",231.37,Original
"[1, 9]",234.37,Fallback
"[2, 0]",0.00,Original
"[2, 1]",0.00,Original
"[2, 2]",0.00,Original
"[2, 3]",0.00,Original
"[2, 4]",0.00,Original
"[2, 5]",211.43,Original
"[2, 6]",230.78,Original
"[2, 7]",234.46,Original
"[2, 8]",233.54,Fallback
"[2, 9]",231.37,Fallback
"[3, 0]",0.00,Original
"[3, 1]",0.00,Original
"[3, 2]",0.00,Original
"[3, 3]",0.00,Original
"[3, 4]",0.00,Original
"[3, 5]",211.66,Original
"[3, 6]",230.75,Original
"[3, 7]",234.14,Original
"[3, 8]",212.13,Original
"[3, 9]",233.54,Fallback
"[4, 0]",0.00,Original
"[4, 1]",0.00,Original
"[4, 2]",0.00,Original
"[4, 3]",0.00,Original
"[4, 4]",0.00,Original
"[4, 5]",212.21,Original
"[4, 6]",231.51,Original
"[4, 7]",235.55,Original
"[4, 8]",235.06,Original
"[4, 9]",212.13,Fallback
"[5, 0]",107.57,Original
"[5, 1]",107.51,Original
"[5, 2]",107.57,Original
"[5, 3]",107.40,Original
"[5, 4]",107.60,Original
"[5, 5]",308.58,Original
"[5, 6]",332.28,Original
"[5, 7]",335.54,Original
"[5, 8]",235.55,Fallback
"[5, 9]",235.06,Fallback
"[6, 0]",114.94,Original
"[6, 1]",114.81,Original
"[6, 2]",114.90,Original
"[6, 3]",114.93,Original
"[6, 4]",115.00,Original
"[6, 5]",321.46,Original
"[6, 6]",341.39,Original
"[6, 7]",345.46,Original
"[6, 8]",335.54,Fallback
"[6, 9]",235.55,Fallback
"[7, 0]",116.70,Original
"[7, 1]",116.87,Original
"[7, 2]",117.04,Original
"[7, 3]",116.72,Original
"[7, 4]",116.71,Original
"[7, 5]",324.44,Original
"[7, 6]",344.06,Original
"[7, 7]",348.95,Original
"[7, 8]",345.46,Fallback
"[7, 9]",335.54,Fallback
"[8, 0]",115.95,Original
"[8, 1]",116.92,Original
"[8, 2]",117.53,Original
"[8, 3]",117.20,Original
"[8, 4]",117.82,Original
"[8, 5]",327.26,Original
"[8, 6]",344.85,Original
"[8, 7]",343.91,Original
"[8, 8]",348.95,Fallback
"[8, 9]",345.46,Fallback
"[9, 0]",115.95,Fallback
"[9, 1]",115.95,Fallback
"[9, 2]",119.16,Original
"[9, 3]",117.53,Fallback
"[9, 4]",117.20,Fallback
"[9, 5]",115.18,Original
"[9, 6]",327.26,Fallback
"[9, 7]",344.85,Fallback
"[9, 8]",343.91,Fallback
"[9, 9]",348.95,Fallback
"[10, 0]",115.95,Fallback
"[10, 1]",115.95,Fallback
"[10, 2]",115.95,Fallback
"[10, 3]",119.16,Fallback
"[10, 4]",117.53,Fallback
"[10, 5]",117.20,Fallback
"[10, 6]",115.18,Fallback
"[10, 7]",327.26,Fallback
"[10, 8]",344.85,Fallback
"[10, 9]",343.91,Fallback
