Retailer_State_Pair,Sample_Count,Optimal_Order_Up_To_Level
"[0, 0]",23744,0.0000
"[0, 1]",47079,160.0855
"[0, 2]",47430,170.3366
"[0, 3]",46011,170.7964
"[0, 4]",46909,170.7693
"[0, 5]",46908,170.9001
"[0, 6]",23635,173.4585
"[0, 7]",1309,175.8017
"[0, 8]",8,174.7742
"[0, 9]",1,165.3193
"[1, 1]",23744,310.0159
"[1, 2]",47078,323.6712
"[1, 3]",47430,324.1986
"[1, 4]",46010,324.2513
"[1, 5]",46327,324.3970
"[1, 6]",24009,327.9753
"[1, 7]",1347,331.3377
"[1, 8]",7,333.4949
"[2, 2]",23744,334.6122
"[2, 3]",47077,335.2272
"[2, 4]",47429,335.1948
"[2, 5]",45440,335.2954
"[2, 6]",23364,338.8177
"[2, 7]",1459,341.4966
"[2, 8]",7,337.5315
"[3, 3]",23744,335.5959
"[3, 4]",47077,335.6849
"[3, 5]",46866,335.8261
"[3, 6]",23450,339.1253
"[3, 7]",1364,342.6329
"[3, 8]",7,340.0732
"[4, 4]",23744,335.6065
"[4, 5]",46477,335.8301
"[4, 6]",23929,339.2384
"[4, 7]",1437,341.7658
"[4, 8]",9,350.7922
"[5, 5]",23130,335.8052
"[5, 6]",23168,339.2930
"[5, 7]",1428,342.0367
"[5, 8]",10,348.8873
"[6, 6]",5899,342.6179
"[6, 7]",684,345.7753
"[6, 8]",5,349.7959
"[7, 7]",26,345.9967
